78	86
58	35
122	122
25	154
340	40
462	2089740
122	35
235	13940
488	1741
122	92
287	287
670	861
429	75
122	267
122	100
728	198
235	969
122	737
27687	816
782	122
837	198
797	304
931	4725
573	872
959	872
917	1557
706	2108
972	893
998	8252
791	3033
782	1035
1054	1054
834	1557
974	238
1126	700
122	6309
318	1432
571	2628
122	122
797	198
96	1432
1309	755
1104	714
1310	419
338	422
834	988
1030	1228
172	122
484	116
791	235
1557	304
1720	1600
1769	1820
1793	1310
1849	361
1870	1611
1659	14446
1650	307
1666	1318
1650	304
1870	1000
86	1820
22	1310
765	1996
1958	1958
1969	123582
1104	304
2024	304
338	901
86	1908
2084	2084
543	533
916	1432
2031	581845
270	7027
1310	2031
396	568
1827	518
2148	2018
1288	35
482	304
686	1996
1471	91
486	198
1486	1996
1288	428
75	1471
1562	536
2197	414
1666	21005
1471	2093
2238	1190
1556	2260
2455	1820
751	34301
2030	1557
2362	1190
1793	588214
1793	1539
828	198
